Jogador,Média PTS,Média REB,Média AST,Porcentagem abaixo da média PTS,Porcentagem abaixo da média REB,Porcentagem abaixo da média AST,Mediana PTS,Mediana REB,Mediana AST,Porcentagem abaixo da mediana PTS,Porcentagem abaixo da mediana REB,Porcentagem abaixo da mediana AST,Moda PTS,Moda REB,Moda AST,Contagem da Moda PTS,Contagem da Moda REB,Contagem da Moda AST,Desvio Padrão PTS,Desvio Padrão REB,Desvio Padrão AST
Jayson Tatum,26.67391304347826,8.891304347826088,5.543478260869565,50.0,47.82608695652174,54.347826086956516,26.5,9.0,5.0,50.0,47.82608695652174,41.30434782608695,16,6,4,4,8,10,7.3637380236643,2.8923520676245116,2.527242869559459
Derrick White,16.065217391304348,4.282608695652174,4.108695652173913,47.82608695652174,60.86956521739131,65.21739130434783,17.0,4.0,4.0,47.82608695652174,36.95652173913043,41.30434782608695,19,4,4,5,11,11,6.437398280233832,1.9962525277602965,2.013601095545162
Jaylen Brown,23.357142857142858,5.976190476190476,4.785714285714286,47.61904761904761,40.476190476190474,54.761904761904766,24.0,6.0,4.0,47.61904761904761,40.476190476190474,21.428571428571427,28,6,4,5,9,14,7.193565649911168,2.6640158136761953,1.8284434841998514
